team_name,FGM,FG %,XPM,XP Pct,KRet TD,PRet T,FGM_field-goals,Att,FG %_field-goals,FG Blk,field-goals_Lng,1-19_Att,1-19_Md,1-19_Pct,20-29_Att,20-29_Md,20-29_Pct,30-39_Att,30-39_Md,30-39_Pct,40-49_Att,40-49_Md,40-49_Pct,50-59_Att,50-59_Md,50-59_Pct,60+_Att,60+_Md,60+_Pct,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD,Avg,Ret_kickoff-returns,Yds_kickoff-returns,KRet TD_kickoff-returns,20+,40+,FC,FUM,kickoff-returns_Lng,Att_punting,Cmp,Cmp %,Yds/Att,Pass Yds,TD_punting,INT,Rate,1st,1st%,20+_punting,40+_punting,Sck,SckY,punting_Lng,Avg_punt-returns,Ret_punt-returns,Yds_punt-returns,PRet T_punt-returns,20+_punt-returns,40+_punt-returns,FC_punt-returns,FUM_punt-returns,punt-returns_Lng
Buccaneers,17,89.5,17,100,0,0,17,19,89.5,2,57.0,0,0,0.0,5,5,100.0,7,7,100.0,2,1,50.0,5,4,80.0,0,0,0.0,47,2986,30,63.8,15,18.5,0,0,0,0,20.1,14,281,0,6,0,1,0,32.0,351,226,64.4,6.8,2389,15,6,91.2,113,32.2,34,7,20,111,70.0,9.2,16,147,0,1,1,8,2,51.0
Commanders,17,81,23,92,0,0,17,21,81,1,61.0,0,0,0.0,3,2,66.66666666666666,6,6,100.0,8,6,75.0,3,2,66.66666666666666,1,1,100.0,54,3412,52,96.3,0,0,2,0,0,0,26.8,17,455,0,13,1,0,1,40.0,486,323,66.5,6.9,3339,18,13,87.3,154,31.7,37,3,55,375,51.0,7.4,28,207,0,2,1,10,1,61.0
Bills,16,84.2,30,96.8,0,0,16,19,84.2,0,54.0,0,0,0.0,1,1,100.0,9,9,100.0,3,2,66.66666666666666,6,4,66.66666666666666,0,0,0.0,62,3899,36,58.1,23,20.4,1,0,1,0,21.4,10,214,0,5,1,4,0,41.0,382,266,69.6,7.5,2875,22,12,97.6,134,35.1,30,6,14,76,81.0,9.3,16,149,0,2,0,17,1,24.0
Bengals,16,80,22,100,0,1,16,20,80,0,56.0,0,0,0.0,4,4,100.0,1,1,100.0,5,5,100.0,10,6,60.0,0,0,0.0,47,2974,37,78.7,6,18.8,1,0,0,0,21.4,11,236,0,6,1,0,0,41.0,380,252,66.3,6.3,2377,16,6,90.9,120,31.6,21,4,27,199,64.0,13,21,272,1,4,1,7,1,81.0
Chargers,16,94.1,29,100,0,1,16,17,94.1,0,55.0,0,0,0.0,5,5,100.0,4,4,100.0,3,3,100.0,5,4,80.0,0,0,0.0,54,3477,46,85.2,7,20.9,0,0,0,0,20.7,6,124,0,4,0,1,0,27.0,359,238,66.3,7.4,2658,20,5,101,127,35.4,38,5,22,172,60.0,15.9,15,238,1,3,1,13,2,87.0
Packers,15,79,20,87,0,0,15,19,79,0,52.0,0,0,0.0,5,5,100.0,7,7,100.0,3,1,33.33333333333333,3,2,66.66666666666666,1,0,0.0,51,3252,26,51,22,22.9,1,0,1,0,25.6,22,563,0,18,2,0,0,51.0,373,226,60.6,7,2613,19,10,87.6,128,34.3,34,5,22,170,77.0,9.2,19,175,0,3,0,11,3,35.0
Lions,13,86.7,31,96.9,0,0,13,15,86.7,0,52.0,0,0,0.0,2,1,50.0,9,9,100.0,2,2,100.0,2,1,50.0,0,0,0.0,59,3671,36,61,18,20.5,2,0,0,0,22.2,13,289,0,7,0,2,1,31.0,405,275,67.9,7.6,3075,18,8,96.9,151,37.3,49,5,21,121,46.0,10.5,16,168,0,1,0,16,0,24.0
Giants,13,68.4,14,100,0,0,13,19,68.4,1,57.0,0,0,0.0,2,2,100.0,6,4,66.66666666666666,7,4,57.14285714285714,4,3,75.0,0,0,0.0,40,2570,32,80,8,27.8,0,0,0,0,20.8,12,249,0,7,0,1,0,36.0,327,214,65.4,6.1,1994,10,9,80.8,91,27.8,28,3,63,337,58.0,6.8,21,143,0,0,0,12,4,17.0
Patriots,12,70.6,13,100,0,0,12,17,70.6,0,51.0,0,0,0.0,3,3,100.0,4,3,75.0,7,5,71.42857142857143,3,1,33.33333333333333,0,0,0.0,38,2379,25,65.8,12,23.4,1,0,0,0,23,8,184,0,5,1,1,0,43.0,349,222,63.6,6.1,2135,10,11,77,98,28.1,19,2,23,139,58.0,6.8,16,108,0,2,0,13,2,25.0
Dolphins,11,78.6,42,97.7,0,0,11,14,78.6,1,54.0,0,0,0.0,2,2,100.0,2,2,100.0,6,5,83.33333333333334,4,2,50.0,0,0,0.0,63,4090,52,82.5,11,30.2,0,0,0,1,24.4,11,268,0,11,0,0,0,33.0,380,265,69.7,8.5,3244,23,11,103.9,157,41.3,42,8,18,106,69.0,9.1,19,173,0,0,0,19,1,19.0
